,death_prob,rep_prob,cancer_prob,guide,init_cells,run,missing,before,after,nj,cassiopeia,reassign_delta,nj_delta
0,0.1,0.75,0.001,smf,1,1,0,0.976,0.982,0.98,0.9698340874811463,0.006000000000000005,-0.0020000000000000018
1,0.1,0.75,0.001,smf,1,2,0,0.937,0.951,0.939,0.9366812227074236,0.013999999999999901,-0.01200000000000001
2,0.1,0.9,0.001,smf,1,0,0,0.901,0.911,0.922,0.9029733959311425,0.010000000000000009,0.01100000000000001
3,0.1,0.9,0.001,smf,1,1,0,0.98,0.992,0.995,0.9948914431673053,0.01200000000000001,0.0030000000000000027
4,0.1,0.5,0.001,smf,1,1,0,0.813,0.783,0.811,0.9807956104252401,-0.029999999999999916,0.028000000000000025
5,0.1,0.5,0.001,smf,1,2,0,0.92,0.893,0.911,0.886986301369863,-0.027000000000000024,0.018000000000000016
