,death_prob,rep_prob,cancer_prob,guide,init_cells,run,missing,before,after,nj,cassiopeia,reassign_delta,nj_delta
0,0.1,0.75,0.001,smf,1,0,0.2,0.456,0.471,0.445,0.9304435483870968,0.014999999999999958,-0.025999999999999968
1,0.1,0.75,0.001,smf,1,1,0.2,0.443,0.472,0.46,0.971,0.02899999999999997,-0.011999999999999955
2,0.1,0.75,0.001,smf,1,2,0.2,0.541,0.586,0.559,0.9856850715746421,0.04499999999999993,-0.026999999999999913
3,0.1,0.75,0.001,smf,1,0,0.1,0.355,0.34,0.31,0.6759465478841871,-0.014999999999999958,-0.030000000000000027
4,0.1,0.75,0.001,smf,1,1,0.1,0.515,0.521,0.519,0.9325153374233128,0.006000000000000005,-0.0020000000000000018
5,0.1,0.75,0.001,smf,1,2,0.1,0.391,0.399,0.381,0.9193205944798302,0.008000000000000007,-0.018000000000000016
6,0.1,0.75,0.001,smf,1,0,0.05,0.489,0.484,0.492,0.888748419721871,-0.0050000000000000044,0.008000000000000007
7,0.1,0.75,0.001,smf,1,2,0.05,0.646,0.633,0.632,0.7747747747747747,-0.013000000000000012,-0.0010000000000000009
8,0.1,0.75,0.001,smf,1,1,0.0,0.916,0.928,0.95,0.9518413597733711,0.01200000000000001,0.02199999999999991
